word	true_class	pred_class
estado	O	B-LOCAL
da	O	I-LOCAL
Paraíba	B-LOCAL	I-LOCAL
de	I-LOCAL	O
Alc	I-LOCAL	B-LOCAL
##al	I-LOCAL	B-LOCAL
##á	I-LOCAL	B-LOCAL
sul	B-LOCAL	O
do	I-LOCAL	O
Brasil	I-LOCAL	B-LOCAL
Em	B-LOCAL	O
Portugal	I-LOCAL	B-LOCAL
ilhas	B-LOCAL	O
dos	I-LOCAL	O
Açores	I-LOCAL	B-LOCAL
colina	O	B-LOCAL
do	O	I-LOCAL
Mais	O	B-TEMPO
recentemente	O	I-TEMPO
em	O	B-TEMPO
as	O	I-TEMPO
épocas	O	I-TEMPO
naquele	O	B-TEMPO
tempo	O	I-TEMPO
aeroporto	O	B-LOCAL
de	O	I-LOCAL
Be	B-LOCAL	I-LOCAL
##ja	B-LOCAL	I-LOCAL
Seminário	B-LOCAL	O
Internacional	I-LOCAL	O
fazenda	B-LOCAL	O
It	I-LOCAL	B-LOCAL
##ere	I-LOCAL	B-LOCAL
##í	I-LOCAL	B-LOCAL
##CA	O	B-ORGANIZACAO
de	O	B-TEMPO
novembro	O	I-TEMPO
em	O	B-TEMPO
igual	O	I-TEMPO
período	O	I-TEMPO
de	O	I-TEMPO
outubro	O	I-TEMPO
revista	B-LOCAL	O
cub	I-LOCAL	O
##ana	I-LOCAL	O
Re	I-LOCAL	B-ORGANIZACAO
##plica	I-LOCAL	B-ORGANIZACAO
Para	B-LOCAL	O
Holanda	I-LOCAL	B-LOCAL
MS	O	B-ORGANIZACAO
##CI	O	B-ORGANIZACAO
-	B-LOCAL	I-LOCAL
Pacífico	B-LOCAL	I-LOCAL
Nik	O	B-ORGANIZACAO
##ke	O	B-ORGANIZACAO
##i	O	B-ORGANIZACAO
Alemão	O	B-PESSOA
Wik	O	B-ORGANIZACAO
##ipé	O	B-ORGANIZACAO
##dia	O	B-ORGANIZACAO
de	O	B-TEMPO
séculos	O	I-TEMPO
T	O	B-ORGANIZACAO
##SE	O	B-ORGANIZACAO
Estados	O	B-ORGANIZACAO
Los	O	B-LOCAL
Angeles	O	I-LOCAL
##Los	O	B-LOCAL
Angeles	O	I-LOCAL
em	O	B-TEMPO
um	O	I-TEMPO
espaço	O	I-TEMPO
de	O	I-TEMPO
oito	O	I-TEMPO
dias	O	I-TEMPO
Social	O	I-ORGANIZACAO
de	O	I-ORGANIZACAO
Em	O	I-ORGANIZACAO
##erg	O	I-ORGANIZACAO
##ência	O	I-ORGANIZACAO
Car	O	B-PESSOA
##mel	O	B-PESSOA
##ita	O	B-PESSOA
Ara	O	I-PESSOA
##ls	O	I-PESSOA
##e	O	I-PESSOA
Te	O	I-PESSOA
##b	O	I-PESSOA
F	O	B-PESSOA
##HC	O	B-PESSOA
muitas	O	B-TEMPO
vezes	O	I-TEMPO
do	O	B-TEMPO
mesmo	O	I-TEMPO
período	O	I-TEMPO
de	O	I-TEMPO
outubro	O	I-TEMPO
Nos	O	B-PESSOA
##so	O	B-PESSOA
Senhor	O	I-PESSOA
do	O	I-PESSOA
Bon	O	I-PESSOA
##fim	O	I-PESSOA
Em	O	B-TEMPO
junho	O	I-TEMPO
atual	O	I-TEMPO
Paraíba	O	B-LOCAL
Conselho	O	B-ORGANIZACAO
##EL	O	B-PESSOA
##SO	O	B-PESSOA
##N	O	B-PESSOA
R	O	I-PESSOA
##OC	O	I-PESSOA
##CO	O	I-PESSOA
em	O	B-TEMPO
setembro	O	I-TEMPO
avenida	O	B-LOCAL
Independência	O	I-LOCAL
Na	O	B-TEMPO
temporada	O	I-TEMPO
2012	O	I-TEMPO
-	O	I-TEMPO
13	O	I-TEMPO
Ano	O	B-TEMPO
passado	O	I-TEMPO
até	O	B-TEMPO
	O	I-TEMPO
de	O	I-TEMPO
maio	O	I-TEMPO
dia	O	I-TEMPO
