,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao,Identificacao_Treino_Teste
11172,2018,B-TEMPO,8070,64,68,626,1,treino
11173,.,O,8070,68,69,626,1,treino
11174,Produzida,O,8071,0,9,626,1,treino
11175,em,O,8071,10,12,626,1,treino
11176,Passa,B-NOME_LOCAL,8071,13,18,626,1,treino
11177,4,I-NOME_LOCAL,8071,19,20,626,1,treino
11178,-,O,8071,21,22,626,1,treino
11179,MG,B-NOME_LOCAL,8071,23,25,626,1,treino
11180,Tempo,O,8072,0,5,626,1,treino
11181,de,O,8072,6,8,626,1,treino
11182,Envelhecimento,O,8072,9,23,626,1,treino
11183,:,O,8072,23,24,626,1,treino
11184,8,B-TEMPO_ARMAZENAMENTO,8072,25,26,626,1,treino
11185,anos,I-TEMPO_ARMAZENAMENTO,8072,27,31,626,1,treino
11186,NOME,O,8149,0,4,632,1,treino
11187,DA,O,8149,5,7,632,1,treino
11188,CACHAÇA,O,8149,8,15,632,1,treino
11189,:,O,8149,15,16,632,1,treino
11190,Cachaça,O,8149,17,24,632,1,treino
11191,Giuseppe,B-NOME_BEBIDA,8149,25,33,632,1,treino
11192,Ouro,B-CLASSIFICACAO_BEBIDA,8149,34,38,632,1,treino
11193,-,O,8149,39,40,632,1,treino
11194,Carvalho,B-TIPO_MADEIRA,8149,41,49,632,1,treino
11195,700,B-VOLUME,8149,50,53,632,1,treino
11196,ml,I-VOLUME,8149,54,56,632,1,treino
11197,PREÇO,O,8150,0,5,632,1,treino
11198,:,O,8150,5,6,632,1,treino
11199,R$,B-PRECO,8150,7,9,632,1,treino
11200,104,I-PRECO,8150,10,13,632,1,treino
11201,",",I-PRECO,8150,13,14,632,1,treino
11202,50,I-PRECO,8150,14,16,632,1,treino
11203,DESCRIÇÃO,O,8151,0,9,632,1,treino
11204,DA,O,8151,10,12,632,1,treino
11205,CACHAÇA,O,8151,13,20,632,1,treino
11206,:,O,8151,20,21,632,1,treino
11207,Cachaça,O,8151,22,29,632,1,treino
11208,Giuseppe,B-NOME_BEBIDA,8151,30,38,632,1,treino
11209,Ouro,B-CLASSIFICACAO_BEBIDA,8151,39,43,632,1,treino
11210,Carvalho,B-TIPO_MADEIRA,8151,44,52,632,1,treino
11211,700,B-VOLUME,8151,53,56,632,1,treino
11212,ml,I-VOLUME,8151,57,59,632,1,treino
11213,armazenada,O,8151,60,70,632,1,treino
11214,por,O,8151,71,74,632,1,treino
11215,2,B-TEMPO_ARMAZENAMENTO,8151,75,76,632,1,treino
11216,anos,I-TEMPO_ARMAZENAMENTO,8151,77,81,632,1,treino
11217,em,O,8151,82,84,632,1,treino
11218,tonéis,B-RECIPIENTE_ARMAZENAMENTO,8151,85,91,632,1,treino
11219,de,O,8151,92,94,632,1,treino
11220,Carvalho,B-TIPO_MADEIRA,8151,95,103,632,1,treino
11221,",",O,8151,103,104,632,1,treino
11222,com,O,8151,105,108,632,1,treino
11223,39%,B-GRADUACAO_ALCOOLICA,8151,109,112,632,1,treino
11224,de,O,8151,113,115,632,1,treino
11225,teor,O,8151,116,120,632,1,treino
11226,alcóolico,O,8151,121,130,632,1,treino
11227,",",O,8151,130,131,632,1,treino
11228,tem,O,8151,132,135,632,1,treino
11229,aroma,O,8151,136,141,632,1,treino
11230,suave,O,8151,142,147,632,1,treino
11231,",",O,8151,147,148,632,1,treino
11232,adocicado,B-CARACTERISTICA_SENSORIAL_AROMA,8151,149,158,632,1,treino
11233,e,O,8151,159,160,632,1,treino
11234,amadeirado,B-CARACTERISTICA_SENSORIAL_AROMA,8151,161,171,632,1,treino
11235,",",O,8151,171,172,632,1,treino
11236,harmoniza,O,8151,173,182,632,1,treino
11237,com,O,8151,183,186,632,1,treino
11238,carnes,O,8151,187,193,632,1,treino
11239,",",O,8151,193,194,632,1,treino
11240,feijoada,O,8151,195,203,632,1,treino
11241,e,O,8151,204,205,632,1,treino
11242,aperitivos,O,8151,206,216,632,1,treino
11243,.,O,8151,216,217,632,1,treino
11244,É,O,8152,0,1,632,1,treino
11245,produzida,O,8152,2,11,632,1,treino
11246,em,O,8152,12,14,632,1,treino
11247,Urussanga,B-NOME_LOCAL,8152,15,24,632,1,treino
11248,-,O,8152,24,25,632,1,treino
11249,SC,B-NOME_LOCAL,8152,25,27,632,1,treino
11250,Para,O,8152,28,32,632,1,treino
11251,saber,O,8152,33,38,632,1,treino
11252,mais,O,8152,39,43,632,1,treino
11253,sobre,O,8152,44,49,632,1,treino
11254,a,O,8152,50,51,632,1,treino
11255,influência,O,8152,52,62,632,1,treino
11256,da,O,8152,63,65,632,1,treino
11257,madeira,O,8152,66,73,632,1,treino
11258,na,O,8152,74,76,632,1,treino
11259,cachaça,O,8152,77,84,632,1,treino
11260,",",O,8152,84,85,632,1,treino
11261,leia,O,8152,86,90,632,1,treino
11262,o,O,8152,91,92,632,1,treino
11263,melhor,O,8152,93,99,632,1,treino
11264,compêndio,O,8152,100,109,632,1,treino
11265,da,O,8152,110,112,632,1,treino
11266,internet,O,8152,113,121,632,1,treino
11267,sobre,O,8152,122,127,632,1,treino
11268,o,O,8152,128,129,632,1,treino
11269,assunto,O,8152,130,137,632,1,treino
11270,em,O,8152,138,140,632,1,treino
11271,nosso,O,8152,141,146,632,1,treino
11272,blog,O,8152,147,151,632,1,treino
11273,:,O,8152,151,152,632,1,treino
11274,https,O,8152,153,158,632,1,treino
11275,:,O,8152,158,159,632,1,treino
11276,/,O,8152,159,160,632,1,treino
11277,/,O,8152,160,161,632,1,treino
11278,blog,O,8152,161,165,632,1,treino
11279,.,O,8152,165,166,632,1,treino
11280,cachacacanela,O,8152,166,179,632,1,treino
11281,-,O,8152,179,180,632,1,treino
11282,de,O,8152,180,182,632,1,treino
11283,-,O,8152,182,183,632,1,treino
11284,ema,O,8152,183,186,632,1,treino
11285,.,O,8152,186,187,632,1,treino
11286,com,O,8152,187,190,632,1,treino
11287,.,O,8152,190,191,632,1,treino
11288,br,O,8152,191,193,632,1,treino
11289,/,O,8152,193,194,632,1,treino
11290,cachaca,O,8152,194,201,632,1,treino
11291,-,O,8152,201,202,632,1,treino
11292,cores,O,8152,202,207,632,1,treino
11293,-,O,8152,207,208,632,1,treino
11294,e,O,8152,208,209,632,1,treino
11295,-,O,8152,209,210,632,1,treino
11296,sabores,O,8152,210,217,632,1,treino
11297,/,O,8152,217,218,632,1,treino
11298,INFORMAÇÕES,O,8153,0,11,632,1,treino
11299,DO,O,8153,12,14,632,1,treino
11300,PRODUTO,O,8153,15,22,632,1,treino
11301,:,O,8153,22,23,632,1,treino
11302,Em,O,8153,24,26,632,1,treino
11303,meio,O,8153,27,31,632,1,treino
11304,a,O,8153,32,33,632,1,treino
11305,tantas,O,8153,34,40,632,1,treino
11306,dificuldades,O,8153,41,53,632,1,treino
11307,",",O,8153,53,54,632,1,treino
11308,em,O,8153,55,57,632,1,treino
11309,1894,B-TEMPO,8153,58,62,632,1,treino
11310,",",O,8153,62,63,632,1,treino
11311,aos,O,8153,64,67,632,1,treino
11312,seus,O,8153,68,72,632,1,treino
11313,22,O,8153,73,75,632,1,treino
11314,anos,O,8153,76,80,632,1,treino
11315,de,O,8153,81,83,632,1,treino
11316,idade,O,8153,84,89,632,1,treino
11317,",",O,8153,89,90,632,1,treino
11318,Giiuseppe,B-NOME_PESSOA,8153,91,100,632,1,treino
11319,Ferdinando,I-NOME_PESSOA,8153,101,111,632,1,treino
11320,Nesi,I-NOME_PESSOA,8153,112,116,632,1,treino
11321,",",O,8153,116,117,632,1,treino
11322,juntamente,O,8153,118,128,632,1,treino
11323,com,O,8153,129,132,632,1,treino
11324,seus,O,8153,133,137,632,1,treino
11325,pais,O,8153,138,142,632,1,treino
11326,e,O,8153,143,144,632,1,treino
11327,seus,O,8153,145,149,632,1,treino
11328,irmãos,O,8153,150,156,632,1,treino
11329,",",O,8153,156,157,632,1,treino
11330,lançou,O,8153,158,164,632,1,treino
11331,-,O,8153,164,165,632,1,treino
11332,se,O,8153,165,167,632,1,treino
11333,a,O,8153,168,169,632,1,treino
11334,desbravar,O,8153,170,179,632,1,treino
11335,corajosamente,O,8153,180,193,632,1,treino
11336,as,O,8153,194,196,632,1,treino
11337,regiões,O,8153,197,204,632,1,treino
11338,do,O,8153,205,207,632,1,treino
11339,sul,B-NOME_LOCAL,8153,208,211,632,1,treino
11340,de,I-NOME_LOCAL,8153,212,214,632,1,treino
11341,Santa,I-NOME_LOCAL,8153,215,220,632,1,treino
11342,Catarina,I-NOME_LOCAL,8153,221,229,632,1,treino
11343,.,O,8153,229,230,632,1,treino
11344,Giuseppe,B-NOME_PESSOA,8154,0,8,632,1,treino
11345,Ferdinando,I-NOME_PESSOA,8154,9,19,632,1,treino
11346,Nesi,I-NOME_PESSOA,8154,20,24,632,1,treino
11347,ja,O,8154,25,27,632,1,treino
11348,Fazia,O,8154,28,33,632,1,treino
11349,Cachaça,O,8154,34,41,632,1,treino
11350,Naquele,O,8154,42,49,632,1,treino
11351,tempo,O,8154,50,55,632,1,treino
11352,.,O,8154,55,56,632,1,treino
11353,Depois,O,8155,0,6,632,1,treino
11354,da,O,8155,7,9,632,1,treino
11355,família,O,8155,10,17,632,1,treino
11356,ter,O,8155,18,21,632,1,treino
11357,interrompido,O,8155,22,34,632,1,treino
11358,a,O,8155,35,36,632,1,treino
11359,destilação,O,8155,37,47,632,1,treino
11360,de,O,8155,48,50,632,1,treino
11361,cachaça,O,8155,51,58,632,1,treino
11362,retomaram,O,8155,59,68,632,1,treino
11363,a,O,8155,69,70,632,1,treino
11364,fabricação,O,8155,71,81,632,1,treino
11365,em,O,8155,82,84,632,1,treino
11366,1993,B-TEMPO,8155,85,89,632,1,treino
11367,com,O,8155,90,93,632,1,treino
11368,Getúlio,B-NOME_PESSOA,8155,94,101,632,1,treino
11369,José,I-NOME_PESSOA,8155,102,106,632,1,treino
11370,Nesi,I-NOME_PESSOA,8155,107,111,632,1,treino
11371,.,O,8155,111,112,632,1,treino
11372,Modo,O,8156,0,4,632,1,treino
11373,de,O,8156,5,7,632,1,treino
11374,Produção,O,8156,8,16,632,1,treino
11375,:,O,8156,16,17,632,1,treino
11376,CACHAÇA,O,8156,18,25,632,1,treino
11377,ARTESANAL,O,8156,26,35,632,1,treino
11378,OU,O,8156,36,38,632,1,treino
11379,DE,O,8156,39,41,632,1,treino
11380,ALAMBIQUE,B-EQUIPAMENTO_DESTILACAO,8156,42,51,632,1,treino
11381,LOCAL,O,8157,0,5,632,1,treino
11382,DE,O,8157,6,8,632,1,treino
11383,PRODUÇÃO,O,8157,9,17,632,1,treino
11384,:,O,8157,17,18,632,1,treino
11385,URASSANGA,B-NOME_LOCAL,8157,19,28,632,1,treino
11386,-,O,8157,29,30,632,1,treino
11387,SC,B-NOME_LOCAL,8157,31,33,632,1,treino
11388,Barril,O,8158,0,6,632,1,treino
11389,:,O,8158,6,7,632,1,treino
11390,CARVALHO,B-TIPO_MADEIRA,8158,8,16,632,1,treino
11391,Volume,O,8159,0,6,632,1,treino
11392,:,O,8159,6,7,632,1,treino
11393,700,B-VOLUME,8159,8,11,632,1,treino
11394,ML,I-VOLUME,8159,12,14,632,1,treino
11395,Graduação,O,8160,0,9,632,1,treino
11396,Alcóolica,O,8160,10,19,632,1,treino
11397,:,O,8160,19,20,632,1,treino
11398,39%,B-GRADUACAO_ALCOOLICA,8160,21,24,632,1,treino
11399,NOME,O,8585,0,4,665,1,treino
11400,DA,O,8585,5,7,665,1,treino
11401,CACHAÇA,O,8585,8,15,665,1,treino
11402,:,O,8585,15,16,665,1,treino
11403,Cachaça,O,8585,17,24,665,1,treino
11404,Ypióca,B-NOME_BEBIDA,8585,25,31,665,1,treino
11405,Ouro,B-CLASSIFICACAO_BEBIDA,8585,32,36,665,1,treino
11406,PREÇO,O,8586,0,5,665,1,treino
11407,:,O,8586,5,6,665,1,treino
11408,R$,B-PRECO,8586,7,9,665,1,treino
11409,19,I-PRECO,8586,10,12,665,1,treino
11410,",",I-PRECO,8586,12,13,665,1,treino
11411,90,I-PRECO,8586,13,15,665,1,treino
11412,DESCRIÇÃO,O,8587,0,9,665,1,treino
11413,DA,O,8587,10,12,665,1,treino
11414,CACHAÇA,O,8587,13,20,665,1,treino
11415,:,O,8587,20,21,665,1,treino
11416,Cachaça,O,8587,22,29,665,1,treino
11417,Ypióca,B-NOME_BEBIDA,8587,30,36,665,1,treino
11418,Ouro,B-CLASSIFICACAO_BEBIDA,8587,37,41,665,1,treino
11419,965,B-VOLUME,8587,42,45,665,1,treino
11420,ml,I-VOLUME,8587,46,48,665,1,treino
11421,.,O,8587,48,49,665,1,treino
11422,Desde,O,8588,0,5,665,1,treino
11423,1846,B-TEMPO,8588,6,10,665,1,treino
11424,",",O,8588,10,11,665,1,treino
11425,a,O,8588,12,13,665,1,treino
11426,Ypióca,B-NOME_BEBIDA,8588,14,20,665,1,treino
11427,é,O,8588,21,22,665,1,treino
11428,um,O,8588,23,25,665,1,treino
11429,grande,O,8588,26,32,665,1,treino
11430,exemplo,O,8588,33,40,665,1,treino
11431,da,O,8588,41,43,665,1,treino
11432,arte,O,8588,44,48,665,1,treino
11433,de,O,8588,49,51,665,1,treino
11434,produzir,O,8588,52,60,665,1,treino
11435,cachaça,O,8588,61,68,665,1,treino
11436,de,O,8588,69,71,665,1,treino
11437,qualidade,O,8588,72,81,665,1,treino
11438,.,O,8588,81,82,665,1,treino
11439,Agora,O,8589,0,5,665,1,treino
11440,",",O,8589,5,6,665,1,treino
11441,sob,O,8589,7,10,665,1,treino
11442,o,O,8589,11,12,665,1,treino
11443,comando,O,8589,13,20,665,1,treino
11444,da,O,8589,21,23,665,1,treino
11445,Diageo,B-NOME_PESSOA,8589,24,30,665,1,treino
11446,",",O,8589,30,31,665,1,treino
11447,o,O,8589,32,33,665,1,treino
11448,maior,O,8589,34,39,665,1,treino
11449,grupo,O,8589,40,45,665,1,treino
11450,de,O,8589,46,48,665,1,treino
11451,bebidas,O,8589,49,56,665,1,treino
11452,premium,O,8589,57,64,665,1,treino
11453,do,O,8589,65,67,665,1,treino
11454,mundo,O,8589,68,73,665,1,treino
11455,",",O,8589,73,74,665,1,treino
11456,YPIÓCA,B-NOME_BEBIDA,8589,75,81,665,1,treino
11457,prossegue,O,8589,82,91,665,1,treino
11458,exaltando,O,8589,92,101,665,1,treino
11459,sua,O,8589,102,105,665,1,treino
11460,qualidade,O,8589,106,115,665,1,treino
11461,",",O,8589,115,116,665,1,treino
11462,tradição,O,8589,117,125,665,1,treino
11463,e,O,8589,126,127,665,1,treino
11464,raízes,O,8589,128,134,665,1,treino
11465,.,O,8589,134,135,665,1,treino
11466,Ypióca,B-NOME_ORGANIZACAO,8590,0,6,665,1,treino
11467,não,O,8590,7,10,665,1,treino
11468,adiciona,O,8590,11,19,665,1,treino
11469,açúcar,O,8590,20,26,665,1,treino
11470,às,O,8590,27,29,665,1,treino
11471,receitas,O,8590,30,38,665,1,treino
11472,",",O,8590,38,39,665,1,treino
11473,preservando,O,8590,40,51,665,1,treino
11474,as,O,8590,52,54,665,1,treino
11475,características,O,8590,55,70,665,1,treino
11476,originais,O,8590,71,80,665,1,treino
11477,da,O,8590,81,83,665,1,treino
11478,verdadeira,O,8590,84,94,665,1,treino
11479,cachaça,O,8590,95,102,665,1,treino
11480,.,O,8590,102,103,665,1,treino
11481,YPIÓCA®,B-NOME_BEBIDA,8591,0,7,665,1,treino
11482,Brasilizar,I-NOME_BEBIDA,8591,8,18,665,1,treino
11483,Ouro,B-CLASSIFICACAO_BEBIDA,8591,19,23,665,1,treino
11484,Armazenada,O,8591,24,34,665,1,treino
11485,é,O,8591,35,36,665,1,treino
11486,armazenada,O,8591,37,47,665,1,treino
11487,durante,O,8591,48,55,665,1,treino
11488,1,B-TEMPO_ARMAZENAMENTO,8591,56,57,665,1,treino
11489,ano,I-TEMPO_ARMAZENAMENTO,8591,58,61,665,1,treino
11490,em,O,8591,62,64,665,1,treino
11491,toneis,B-RECIPIENTE_ARMAZENAMENTO,8591,65,71,665,1,treino
11492,de,O,8591,72,74,665,1,treino
11493,bálsamo,B-TIPO_MADEIRA,8591,75,82,665,1,treino
11494,",",O,8591,82,83,665,1,treino
11495,realçando,O,8591,84,93,665,1,treino
11496,o,O,8591,94,95,665,1,treino
11497,seu,O,8591,96,99,665,1,treino
11498,sabor,O,8591,100,105,665,1,treino
11499,e,O,8591,106,107,665,1,treino
11500,aroma,O,8591,108,113,665,1,treino
11501,em,O,8591,114,116,665,1,treino
11502,uma,O,8591,117,120,665,1,treino
11503,cachaça,O,8591,121,128,665,1,treino
11504,diferenciada,O,8591,129,141,665,1,treino
11505,.,O,8591,141,142,665,1,treino
11506,O,O,8592,0,1,665,1,treino
11507,melhor,O,8592,2,8,665,1,treino
11508,da,O,8592,9,11,665,1,treino
11509,cana,O,8592,12,16,665,1,treino
11510,de,O,8592,17,19,665,1,treino
11511,açúcar,O,8592,20,26,665,1,treino
11512,.,O,8592,26,27,665,1,treino
11513,A,O,8593,0,1,665,1,treino
11514,arte,O,8593,2,6,665,1,treino
11515,de,O,8593,7,9,665,1,treino
11516,fazer,O,8593,10,15,665,1,treino
11517,bebida,O,8593,16,22,665,1,treino
11518,é,O,8593,23,24,665,1,treino
11519,antiga,O,8593,25,31,665,1,treino
11520,",",O,8593,31,32,665,1,treino
11521,e,O,8593,33,34,665,1,treino
11522,cada,O,8593,35,39,665,1,treino
11523,país,O,8593,40,44,665,1,treino
11524,tem,O,8593,45,48,665,1,treino
11525,seus,O,8593,49,53,665,1,treino
11526,produtos,O,8593,54,62,665,1,treino
11527,",",O,8593,62,63,665,1,treino
11528,como,O,8593,64,68,665,1,treino
11529,é,O,8593,69,70,665,1,treino
11530,o,O,8593,71,72,665,1,treino
11531,caso,O,8593,73,77,665,1,treino
11532,da,O,8593,78,80,665,1,treino
11533,cachaça,O,8593,81,88,665,1,treino
11534,Ypióca,B-NOME_BEBIDA,8593,89,95,665,1,treino
11535,Ouro,B-CLASSIFICACAO_BEBIDA,8593,96,100,665,1,treino
11536,feita,O,8593,101,106,665,1,treino
11537,no,O,8593,107,109,665,1,treino
11538,Ceará,B-NOME_LOCAL,8593,110,115,665,1,treino
11539,desde,O,8593,116,121,665,1,treino
11540,1843,B-TEMPO,8593,122,126,665,1,treino
11541,",",O,8593,126,127,665,1,treino
11542,vinda,O,8593,128,133,665,1,treino
11543,do,O,8593,134,136,665,1,treino
11544,melhor,O,8593,137,143,665,1,treino
11545,da,O,8593,144,146,665,1,treino
11546,cana,O,8593,147,151,665,1,treino
11547,de,O,8593,152,154,665,1,treino
11548,açúcar,O,8593,155,161,665,1,treino
11549,.,O,8593,161,162,665,1,treino
11550,Hoje,O,8594,0,4,665,1,treino
11551,ela,O,8594,5,8,665,1,treino
11552,ajuda,O,8594,9,14,665,1,treino
11553,a,O,8594,15,16,665,1,treino
11554,trazer,O,8594,17,23,665,1,treino
11555,mais,O,8594,24,28,665,1,treino
11556,alegrias,O,8594,29,37,665,1,treino
11557,e,O,8594,38,39,665,1,treino
11558,bons,O,8594,40,44,665,1,treino
11559,momentos,O,8594,45,53,665,1,treino
11560,entre,O,8594,54,59,665,1,treino
11561,amigos,O,8594,60,66,665,1,treino
11562,e,O,8594,67,68,665,1,treino
11563,familiares,O,8594,69,79,665,1,treino
11564,.,O,8594,79,80,665,1,treino
11565,Diferenciais,O,8595,0,12,665,1,treino
11566,da,O,8595,13,15,665,1,treino
11567,versão,O,8595,16,22,665,1,treino
11568,ouro,O,8595,23,27,665,1,treino
11569,Nesta,O,8595,28,33,665,1,treino
11570,versão,O,8595,34,40,665,1,treino
11571,",",O,8595,40,41,665,1,treino
11572,a,O,8595,42,43,665,1,treino
11573,Ypióca,B-NOME_BEBIDA,8595,44,50,665,1,treino
11574,passa,O,8595,51,56,665,1,treino
11575,por,O,8595,57,60,665,1,treino
11576,um,O,8595,61,63,665,1,treino
11577,processo,O,8595,64,72,665,1,treino
11578,de,O,8595,73,75,665,1,treino
11579,envelhecimento,O,8595,76,90,665,1,treino
11580,em,O,8595,91,93,665,1,treino
11581,bálsamo,B-TIPO_MADEIRA,8595,94,101,665,1,treino
11582,",",O,8595,101,102,665,1,treino
11583,transformando,O,8595,103,116,665,1,treino
11584,-,O,8595,116,117,665,1,treino
11585,a,O,8595,117,118,665,1,treino
11586,em,O,8595,119,121,665,1,treino
11587,uma,O,8595,122,125,665,1,treino
11588,cachaça,O,8595,126,133,665,1,treino
11589,premium,B-CLASSIFICACAO_BEBIDA,8595,134,141,665,1,treino
11590,.,O,8595,141,142,665,1,treino
11591,Ela,O,8596,0,3,665,1,treino
11592,traz,O,8596,4,8,665,1,treino
11593,toda,O,8596,9,13,665,1,treino
11594,a,O,8596,14,15,665,1,treino
11595,diferença,O,8596,16,25,665,1,treino
11596,em,O,8596,26,28,665,1,treino
11597,caipirinhas,O,8596,29,40,665,1,treino
11598,de,O,8596,41,43,665,1,treino
11599,frutas,O,8596,44,50,665,1,treino
11600,e,O,8596,51,52,665,1,treino
11601,outros,O,8596,53,59,665,1,treino
11602,tipos,O,8596,60,65,665,1,treino
11603,de,O,8596,66,68,665,1,treino
11604,drinks,O,8596,69,75,665,1,treino
11605,e,O,8596,76,77,665,1,treino
11606,coquetéis,O,8596,78,87,665,1,treino
11607,.,O,8596,87,88,665,1,treino
11608,Mais,O,8597,0,4,665,1,treino
11609,suave,O,8597,5,10,665,1,treino
11610,Ela,O,8597,11,14,665,1,treino
11611,tem,O,8597,15,18,665,1,treino
11612,o,O,8597,19,20,665,1,treino
11613,sabor,O,8597,21,26,665,1,treino
11614,mais,O,8597,27,31,665,1,treino
11615,suave,O,8597,32,37,665,1,treino
11616,",",O,8597,37,38,665,1,treino
11617,e,O,8597,39,40,665,1,treino
11618,acompanha,O,8597,41,50,665,1,treino
11619,bem,O,8597,51,54,665,1,treino
11620,refeições,O,8597,55,64,665,1,treino
11621,",",O,8597,64,65,665,1,treino
11622,seja,O,8597,66,70,665,1,treino
11623,para,O,8597,71,75,665,1,treino
11624,abrir,O,8597,76,81,665,1,treino
11625,o,O,8597,82,83,665,1,treino
11626,apetite,O,8597,84,91,665,1,treino
11627,ou,O,8597,92,94,665,1,treino
11628,para,O,8597,95,99,665,1,treino
11629,fechar,O,8597,100,106,665,1,treino
11630,o,O,8597,107,108,665,1,treino
11631,almoço,O,8597,109,115,665,1,treino
11632,de,O,8597,116,118,665,1,treino
11633,domingo,O,8597,119,126,665,1,treino
11634,.,O,8597,126,127,665,1,treino
11635,Experimente,O,8598,0,11,665,1,treino
11636,com,O,8598,12,15,665,1,treino
11637,moderação,O,8598,16,25,665,1,treino
11638,e,O,8598,26,27,665,1,treino
11639,sinta,O,8598,28,33,665,1,treino
11640,o,O,8598,34,35,665,1,treino
11641,sabor,O,8598,36,41,665,1,treino
11642,de,O,8598,42,44,665,1,treino
11643,uma,O,8598,45,48,665,1,treino
11644,das,O,8598,49,52,665,1,treino
11645,melhores,O,8598,53,61,665,1,treino
11646,aguardentes,O,8598,62,73,665,1,treino
11647,do,O,8598,74,76,665,1,treino
11648,país,O,8598,77,81,665,1,treino
11649,.,O,8598,81,82,665,1,treino
11650,Volume,O,8599,0,6,665,1,treino
11651,:,O,8599,6,7,665,1,treino
11652,965,B-VOLUME,8599,8,11,665,1,treino
11653,ml,I-VOLUME,8599,12,14,665,1,treino
11654,GRADUAÇÃO,O,8600,0,9,665,1,treino
11655,ALCOÓLICA,O,8600,10,19,665,1,treino
11656,:,O,8600,19,20,665,1,treino
11657,38%,B-GRADUACAO_ALCOOLICA,8600,21,24,665,1,treino
11658,vol,O,8600,25,28,665,1,treino
11659,.,O,8600,28,29,665,1,treino
11660,NOME,O,8882,0,4,681,1,treino
11661,DA,O,8882,5,7,681,1,treino
11662,CACHAÇA,O,8882,8,15,681,1,treino
11663,:,O,8882,15,16,681,1,treino
11664,Cachaça,O,8882,17,24,681,1,treino
11665,Estância,B-NOME_BEBIDA,8882,25,33,681,1,treino
11666,Moretti,I-NOME_BEBIDA,8882,34,41,681,1,treino
11667,Imburana,B-TIPO_MADEIRA,8882,42,50,681,1,treino
11668,PREÇO,O,8883,0,5,681,1,treino
11669,:,O,8883,5,6,681,1,treino
11670,R$,B-PRECO,8883,7,9,681,1,treino
11671,99,I-PRECO,8883,10,12,681,1,treino
11672,",",I-PRECO,8883,12,13,681,1,treino
11673,90,I-PRECO,8883,13,15,681,1,treino
11674,DESCRIÇÃO,O,8884,0,9,681,1,treino
11675,DA,O,8884,10,12,681,1,treino
11676,CACHAÇA,O,8884,13,20,681,1,treino
11677,:,O,8884,20,21,681,1,treino
11678,Cachaça,O,8884,22,29,681,1,treino
11679,Estância,B-NOME_BEBIDA,8884,30,38,681,1,treino
11680,Moretti,I-NOME_BEBIDA,8884,39,46,681,1,treino
11681,Imburana,B-TIPO_MADEIRA,8884,47,55,681,1,treino
11682,500,B-VOLUME,8884,56,59,681,1,treino
11683,ml,I-VOLUME,8884,60,62,681,1,treino
11684,.,O,8884,62,63,681,1,treino
11685,Detalhes,O,8885,0,8,681,1,treino
11686,:,O,8885,8,9,681,1,treino
11687,detalhe,O,8885,10,17,681,1,treino
11688,1,O,8885,18,19,681,1,treino
11689,detalhe,O,8885,20,27,681,1,treino
11690,2,O,8885,28,29,681,1,treino
11691,detalhe,O,8885,30,37,681,1,treino
11692,Volume,O,8886,0,6,681,1,treino
11693,:,O,8886,6,7,681,1,treino
11694,500,B-VOLUME,8886,8,11,681,1,treino
11695,ml,I-VOLUME,8886,12,14,681,1,treino
11696,GRADUAÇÃO,O,8887,0,9,681,1,treino
11697,ALCOÓLICA,O,8887,10,19,681,1,treino
11698,:,O,8887,19,20,681,1,treino
11699,40%,B-GRADUACAO_ALCOOLICA,8887,21,24,681,1,treino
11700,vol,O,8887,25,28,681,1,treino
11701,.,O,8887,28,29,681,1,treino
11702,NOME,O,9176,0,4,705,1,treino
11703,DA,O,9176,5,7,705,1,treino
11704,CACHAÇA,O,9176,8,15,705,1,treino
11705,:,O,9176,15,16,705,1,treino
11706,Cachaça,O,9176,17,24,705,1,treino
11707,Espírito,B-NOME_BEBIDA,9176,25,33,705,1,treino
11708,de,I-NOME_BEBIDA,9176,34,36,705,1,treino
11709,Minas,I-NOME_BEBIDA,9176,37,42,705,1,treino
11710,Artistas,I-NOME_BEBIDA,9176,43,51,705,1,treino
11711,Brasileiros,I-NOME_BEBIDA,9176,52,63,705,1,treino
11712,Ouro,B-CLASSIFICACAO_BEBIDA,9176,64,68,705,1,treino
11713,PREÇO,O,9177,0,5,705,1,treino
11714,:,O,9177,5,6,705,1,treino
11715,R$,B-PRECO,9177,7,9,705,1,treino
11716,109,I-PRECO,9177,10,13,705,1,treino
11717,",",I-PRECO,9177,13,14,705,1,treino
11718,90,I-PRECO,9177,14,16,705,1,treino
11719,DESCRIÇÃO,O,9178,0,9,705,1,treino
11720,DA,O,9178,10,12,705,1,treino
11721,CACHAÇA,O,9178,13,20,705,1,treino
11722,:,O,9178,20,21,705,1,treino
11723,Cachaça,O,9178,22,29,705,1,treino
11724,Espírito,B-NOME_BEBIDA,9178,30,38,705,1,treino
11725,de,I-NOME_BEBIDA,9178,39,41,705,1,treino
11726,Minas,I-NOME_BEBIDA,9178,42,47,705,1,treino
11727,Ouro,B-CLASSIFICACAO_BEBIDA,9178,48,52,705,1,treino
11728,700,B-VOLUME,9178,53,56,705,1,treino
11729,ml,I-VOLUME,9178,57,59,705,1,treino
11730,.,O,9178,59,60,705,1,treino
11731,Versão,O,9179,0,6,705,1,treino
11732,da,O,9179,7,9,705,1,treino
11733,tradicional,O,9179,10,21,705,1,treino
11734,cachaça,O,9179,22,29,705,1,treino
