Jornal	B-OBRA
distribuição,	O
desses	O
conteúdos.	O
Outro	O
grande	O
desafio	O
para	O
o	O
qual	O
o	O
cientista	O
da	O
informação	O
precisa	O
estar	O
atento	O
diz	O
respeito	O
à	O
questão	O
da	O
ética	O
na	O
profissão.	O
Tal	O
assunto	O
afeta,	O
de	O
fato,	O
todos	O
aqueles	O
que	O
de	O
alguma	O
maneira	O
atuam	O
no	O
contexto	O
da	O
geração,	O
distribuição	O
e	O
uso	O
de	O
informações.	O
Mas	O
a	O
proximidade	O
dessas	O
atividades	O
com	O
a	O
área	O
da	O
Ciência	B-ABSTRACCAO
da	I-ABSTRACCAO
Informação	I-ABSTRACCAO
requer	O
uma	O
preocupação	O
ainda	O
maior	O
com	O
o	O
assunto,	O
devendo	O
inclusive	O
constituir	O
uma	O
disciplina	O
específica	O
nos	O
cursos	O
de	O
pós-graduação,	O
para	O
que	O
o	O
aluno	O
tenha	O
uma	O
formação	O
que	O
possa	O
nortear	O
sua	O
conduta	O
enquanto	O
profissional	O
de	O
informação.	O

As	O
mudanças	O
na	O
área	O
da	O
Ciência	B-ABSTRACCAO
da	I-ABSTRACCAO
Informação	I-ABSTRACCAO
em	O
função	O
do	O
impacto	O
das	O
TI	B-ABSTRACCAO
já	O
estão	O
se	O
processando	O
há	O
algum	O
tempo.	O
O	O
currículo	O
do	O
curso	O
tem	O
sido	O
alterado	O
sucessivamente	O
e	O
o	O
perfil	O
dos	O
alunos	O
também	O
está	O
se	O
alterando.	O
Os	O
dados	O
mostram	O
que	O
esta	O
área	O
recebia,	O
no	O
passado,	O
um	O
grande	O
contingente	O
de	O
alunos	O
originarios	O
dos	O
cursos	O
de	O
graduação	O
de	O
biblioteconomia.	O
atualmente	O
o	O
número	O
de	O
alunos	O
provenientes	O
dessa	O
área	O
está	O
em	O
acentuado	O
declínio.	O
De	O
fato	O
o	O
perfil	O
está	O
tendendo	O
a	O
se	O
diversificar	O
bastante.	O
Esse	O
movimento	O
parece	O
compatível	O
com	O
o	O
que	O
hoje	O
se	O
observa	O
no	O
mercado	O
de	O
trabalho:	O
uma	O
tendência	O
de	O
selecionar	O
empregados	O
com	O
determinadas	O
qualificações	O
e	O
experiências	O
sem	O
priorizar	O
a	O
formação	O
de	O
graduação.	O
É	O
preciso	O
considerar	O
que	O
a	O
preparação	O
do	O
profissional	O
para	O
enfrentar	O
os	O
desafios	O
da	O
sociedade	O
da	O
informação	O
precisa	O
começar	O
mais	O
cedo,	O
antes	O
do	O
curso	O
da	O
pós-graduação	O
e	O
até	O
mesmo	O
da	O
graduação.	O
A	O
formação	O
em	O
TI	B-ABSTRACCAO
precisa	O
estar	O
imersa	O
nas	O
várias	O
disciplinas	O
desde	O
o	O
curso	O
fundamental,	O
numa	O
abordagem	O
diferente	O
do	O
que	O
a	O
maioria	O
das	O
escolas	O
vem	O
adotando	O
até	O
agora.	O

Em	O
vez	O
de	O
cursos	O
de	O
informática	O
as	O
escolas	O
devem	O
estimular	O
que	O
todas	O
as	O
disciplinas	O
utilizem	O
recursos	O
de	O
TI	B-ABSTRACCAO
,	O
que	O
tenham	O
acesso	O
à	O
Internet	B-LOCAL
e	O
que	O
aprendam	O
a	O
produzir	O
e	O
disseminar	O
conteúdos.	O
Tais	O
iniciativas	O
são	O
essenciais	O
na	O
formação	O
de	O
uma	O
geração	O
que	O
irá	O
necessitar	O
mais	O
intensamente	O
desses	O
conhecimentos.	O
A	O
situação	O
atual	O
requer	O
iniciativas	O
especiais.	O
Em	O
primeiro	O
lugar	O
trata-se	O
de	O
formar	O
profissionais	O
para	O
exercer	O
novas	O
atividades.	O
Para	O
isso,	O
é	O
preciso	O
reestruturar	O
os	O
cursos	O
de	O
Ciência	B-ABSTRACCAO
da	I-ABSTRACCAO
Informação	I-ABSTRACCAO
,	O
incorporando	O
novas	O
disciplinas,	O
o	O
que	O
remete	O
à	O
necessidade	O
de	O
aperfeiçoar	O
as	O
competências	O
dos	O
professores	O
da	O
área,	O
bem	O
como	O
de	O
ter	O
acesso	O
às	O
novas	O
ferramentas	O
de	O
TI	B-ABSTRACCAO
e	O
dispor	O
de	O
laboratórios	O
e	O
equipamentos	O
adequados	O
para	O
o	O
desenvolvimento	O
de	O
atividades	O
de	O
pesquisas	O
em	O
áreas	O
de	O
ponta.	O
(maiusculas	O
no	O
texto	O
colocadas	O
pela	O
Lista	B-PESSOA
|Lista)	O

Depoimento	O
de	O
Gilberto	B-PESSOA
Afif	I-PESSOA
Sarruf	I-PESSOA
Entrevistado	O
por	O
Valéria	B-PESSOA
Barbosa	I-PESSOA
e	O
Roney	B-PESSOA
Cytrynowicz	I-PESSOA
Estúdio	B-LOCAL
da	I-LOCAL
Oficina	I-LOCAL
Cultural	I-LOCAL
Oswald	I-LOCAL
de	I-LOCAL
Andrade	I-LOCAL
|	O
Estúdio	O
da	O
Oficina	B-ORGANIZACAO
Cultural	I-ORGANIZACAO
Oswald	I-ORGANIZACAO
de	I-ORGANIZACAO
Andrade	I-ORGANIZACAO
São	B-LOCAL
Paulo	I-LOCAL
,	O
21	B-TEMPO
de	I-TEMPO
novembro	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
Transcrita	O
por	O
Teresa	B-PESSOA
Furtado	I-PESSOA
P	O
-	O
Eu	O
queria	O
que	O
o	O
senhor	O
nos	O
dissesse	O
o	O
seu	O
nome,	O
o	O
local	O
e	O
a	O
data	O
de	O
nascimento.	O
R	O
-	O
Bom,	O
meu	O
nome	O
é	O
Gilberto	B-ABSTRACCAO
Afif	I-ABSTRACCAO
Sarruf	I-ABSTRACCAO
,	O
sou	O
nascido	O
em	O
São	B-LOCAL
Paulo	I-LOCAL
,	O
e	O
nascí	O
em	O
14	B-TEMPO
de	I-TEMPO
abril	I-TEMPO
de	I-TEMPO
1948	I-TEMPO
.	O
P	O
-	O
Qual	O
que	O
é	O
o	O
nome	O
dos	O
pais	O
do	O
senhor	O
e	O
onde	O
que	O
eles	O
nasceram?	O
R	O
-	O
Meu	O
pai	O
era	O
chamado	O
Afif	B-ABSTRACCAO
Sarruf	I-ABSTRACCAO
,	O
nasceu	O
em	O
Homs	B-LOCAL
,	O
na	O
Síria	B-LOCAL
em	O
1915	B-TEMPO
,	O
hoje	O
ele	O
já	O
é	O
falecido.	O
Minha	O
mãe	O
é	O
nascida	O
no	O
Brasil	B-LOCAL
,	O
em	O
São	B-LOCAL
Paulo	I-LOCAL
,	O
e	O
é	O
filha	O
de	O
libaneses...	O
é	O
filha	O
de	O
libanês	O
com	O
árabe...	O
com	O
sírio.	O
P	O
-	O
Qual	O
que	O
é	O
o	O
nome	O
dela?	O
R	O
-	O
Renée	B-ABSTRACCAO
Lotaif	I-ABSTRACCAO
Sarruf	I-ABSTRACCAO
.	O

P	O
-	O
E	O
qual	O
que	O
era	O
a	O
atividade	O
do	O
pai	O
do	O
senhor?	O
R	O
-	O
Meu	O
pai	O
veio	O
para	O
cá	O
pequeno,	O
veio	O
com	O
oito	O
anos	O
de	O
idade,	O
e	O
estudou	O
um	O
período,	O
até	O
crescer	O
um	O
pouco	O
mais,	O
e	O
começou	O
a	O
trabalhar	O
com	O
os	O
irmãos,	O
e	O
quando	O
adquiriu	O
aproximadamente	O
14	B-VALOR
/	O
15	B-VALOR
anos	I-VALOR
,	O
começou	O
a	O
trabalhar	O
com	O
comércio	O
de	O
armarinhos,	O
e...	O
que	O
deu	O
origem	O
ao	O
nome	O
Ao	B-ABSTRACCAO
Rei	I-ABSTRACCAO
do	I-ABSTRACCAO
Armarinho	I-ABSTRACCAO
,	O
e	O
que	O
existe	O
até	O
hoje,	O
estou	O
aqui	O
eu	O
continuando,	O
e	O
eventualmente	O
meus	O
filhos.	O
P	O
-	O
E	O
por	O
que	O
é	O
que...	O
qual	O
que	O
foi	O
o	O
motivo	O
da	O
vinda	O
dos	O
pais	O
do	O
senhor	O
para	O
o	O
Brasil	B-LOCAL
,	O
por	O
que	O
escolheram	O
o	O
Brasil	B-LOCAL
?	O
R	O
-	O
Talvez,	O
no	O
começo	O
do	O
século,	O
vamos	O
dizer,	O
a	O
situação	O
na	O
Síria	B-LOCAL
não	O
estivesse	O
das	O
melhores,	O
e	O
algumas	O
pessoas	O
que	O
imigraram	O
antes	O
escreveram,	O
ou	O
foram	O
bem	O
sucedidas,	O
ou	O
analisaram	O
o	O
Brasil	B-LOCAL
como	O
um	O
mercado	O
promissor	O
e	O
acabaram	O
vindo.	O
Primeiro	O
os	O
irmãos	O
mais	O
velhos	O
do	O
meu	O
pai,	O
sentiram,	O
e	O
realmente	O
endossaram	O
isso,	O
e	O
acabou	O
vindo	O
o	O
resto	O
da	O
família.	O

P	O
-	O
No	O
caso	O
dos	O
irmãos...	O
mais	O
velhos,	O
eles	O
estavam	O
no	O
ramo	O
de	O
armarinhos,	O
como	O
é	O
que	O
era?	O
R	O
-	O
Não,	O
não	O
vieram	O
especificamente	O
para	O
o	O
ramo	O
de	O
armarinhos.	O
Eles	O
começaram	O
como	O
mascates!	O
Vieram,...	O
vamos	O
dizer,	O
com	O
a	O
cara	O
e	O
a	O
coragem,	O
para	O
cá.	O
Vieram	O
se	O
aventurar,	O
eram	O
solteiros,	O
e...	O
tentar,	O
vamos	O
dizer,	O
arriscar	O
uma	O
vida	O
nova.	O
E	O
de	O
repente	O
viram	O
que	O
existia	O
possibilidade,	O
que	O
o	O
Brasil	B-LOCAL
oferecia	O
condições	O
favoráveis	O
para	O
isso,	O
um	O
país	O
de	O
clima	O
tropical,	O
São	B-LOCAL
Paulo	I-LOCAL
uma	O
cidade	O
que	O
já,	O
desde	O
o	O
começo	O
do	O
século,	O
inspirava	O
que	O
seria	O
um	O
grande	O
pólo	O
de	O
desenvolvimento,	O
eles	O
acreditaram	O
e	O
vieram,	O
com	O
a	O
raça	O
e	O
a	O
coragem.	O
P	O
-	O
Quando	O
eles	O
chegaram,	O
no	O
caso,	O
o	O
pai	O
do	O
senhor,	O
quando	O
ele	O
chegou	O
aqui	O
no	O
Brasil	B-LOCAL
,	O
onde	O
que	O
ele	O
foi	O
morar,	O
onde	O
era	O
a	O
casa?	O
R	O
-	O
Eles	O
moravam	O
no	O
Brás	B-LOCAL
,	O
no	O
Belenzinho	B-LOCAL
,	O
mais	O
especificamente.	O
P	O
-	O
Junto	O
com	O
outros	O
parentes?	O
R	O
-	O
Morava	O
a	O
família	O
inteira,	O
numa	O
casa	O
grande.	O

Meu	O
pai	O
tinha	O
diversos	O
irmãos,	O
dez	O
ou	O
11	B-VALOR
irmãos,	O
mais	O
os	O
pais	O
dele	O
;	O
o	O
pai	O
dele,	O
e...	O
eu	O
sei	O
que	O
era	O
uma	O
casa	O
grande,	O
vamos	O
dizer,	O
onde	O
a	O
família	O
se	O
cotizava,	O
se	O
ajustava	O
ali	O
e	O
praticamente	O
eu	O
ouvi	O
falar	O
alguma	O
coisa,	O
não	O
cheguei	O
a	O
conhecer.	O
P	O
-	O
E	O
o	O
senhor	O
nasceu	O
em	O
que	O
bairro	O
aqui	O
em	O
São	B-LOCAL
Paulo	I-LOCAL
?	O
R	O
-	O
Onde	O
eu	O
morava?	O
Onde	O
eu	O
nascí?	O
P	O
-	O
Isso.	O
R	O
-	O
Eu	O
morava	O
na	O
Brigadeiro	B-LOCAL
Luís	I-LOCAL
Antônio	I-LOCAL
,	O
quase	O
esquina	O
com	O
a	O
Alameda	B-LOCAL
Santos	I-LOCAL
.	O
P	O
-	O
E	O
como	O
é	O
que	O
era	O
a	O
casa	O
da	O
infância,	O
o	O
local,	O
assim...	O
o	O
que	O
é	O
que	O
o	O
senhor	O
lembra	O
da	O
casa	O
da	O
infância?	O
R	O
-	O
Bom,	O
eu	O
morei	O
de	O
48	B-TEMPO
até	O
54	B-TEMPO
numa	O
casa	O
grande,	O
na	O
Brigadeiro	B-LOCAL
Luís	I-LOCAL
Antônio	I-LOCAL
,	O
e...	O
pela	O
idade	O
e	O
pela,	O
e	O
pelo	O
fato	O
de	O
ser	O
na	O
rampa	O
da	O
Brigadeiro	B-LOCAL
Luís	I-LOCAL
Antônio	I-LOCAL
,	O
eu	O
não	O
tinha	O
acesso	O
à	O
rua,	O
então	O
a	O
gente	O
se	O
limitava	O
a	O
brincar	O
dentro	O
de	O
casa.	O

Em	O
54	B-TEMPO
nós	O
mudamos	O
para	O
uma	O
travessa	O
da	O
Brigadeiro	B-LOCAL
Luís	I-LOCAL
Antônio	I-LOCAL
,	O
mais	O
lá	O
embaixo,	O
que	O
era	O
a	O
Rua	B-LOCAL
Honduras	I-LOCAL
.	O
E	O
lá	O
era	O
uma	O
casa,	O
era	O
um	O
lugar	O
plano,	O
e	O
onde	O
eu	O
já	O
tinha	O
uma	O
idadezinha	O
que	O
dava	O
para	O
começar	O
a	O
andar	O
de	O
bicicleta,	O
enfim...	O
São	B-LOCAL
Paulo	I-LOCAL
naquela	O
época	O
não	O
tinha	O
os	O
problemas	O
de	O
hoje,	O
a	O
gente	O
tinha	O
acesso	O
a	O
jogar	O
futebol	O
na	O
rua,	O
jogar	O
taco,...	O
enfim,	O
brincar	O
com	O
a	O
vizinhança,	O
era	O
uma	O
vida	O
extremamente	O
saudável.	O
Eu	O
morei	O
ali	O
até	O
67	B-TEMPO
,	O
e	O
passei	O
praticamente	O
minha	O
puberdade	O
e	O
adolescência	O
ali.	O
E...	O
fizemos	O
muitas	O
besteiras,	O
tipo	O
arrumar	O
briga	O
com	O
outras	O
turmas,	O
...	O
aprontava	O
coisa	O
de	O
moleque.	O
Na	O
época	O
do	O
DKW	O
,	O
existia	O
o	O
olho	O
de	O
gato,	O
não	O
sei	O
se	O
você	O
chegou	O
a	O
conhecer,	O
mas	O
era	O
uma	O
peça	O
que	O
quando	O
batia	O
o	O
farol	O
iluminava,	O
então,	O
era	O
da	O
roubar	O
olho	O
de	O
gato	O
dos	O
carros,	O
e	O
fazer	O
essas	O
besteiradas,	O
essas	O
coisas	O
de	O
moleque,	O
né.	O

P	O
-	O
Quantos	O
irmãos,	O
seu	B-PESSOA
Gilberto	I-PESSOA
?	O
R	O
-	O
Eu	O
tenho	O
três,	O
e	O
eu	O
sou	O
o	O
mais	O
velho,	O
tenho	O
mais	O
dois	O
irmãos	O
homens,	O
um	O
trabalha	O
comigo,	O
o	O
caçula	O
;	O
o	O
outro	O
é	O
médico,	O
dermatologista,	O
e	O
tenho	O
uma	O
irmã.	O
Minha	O
irmã	O
é	O
a	O
do	O
meio,	O
é	O
a	O
terceira.	O
P	O
-	O
Eu	O
queria	O
que	O
o	O
senhor	O
contasse	O
um	O
pouco	O
sobre	O
a	O
escola,	O
as	O
lembranças	O
que	O
o	O
senhor	O
tem	O
da	O
época	O
da	O
escola...	O
R	O
-	O
Da	O
escola?	O
Ich...!	O
Isso	O
vai	O
ser	O
puxado,	O
ficar	O
registrado...	O
(riso)	O
Bom,	O
no	O
tempo	O
de	O
escola,	O
eu	O
estudei	O
no	O
Colégio	B-ORGANIZACAO
Dante	I-ORGANIZACAO
Alighieri	I-ORGANIZACAO
,	O
...	O
durante	O
muitos	O
anos	O
;	O
quando	O
eu	O
me	O
formei	O
no	O
curso	O
secundário,	O
no	O
ginasial,	O
eu...	O
não	O
queria	O
fazer	O
clássico	O
nem	O
científico,	O
então	O
eu	O
optei	O
por	O
fazer	O
contabilidade.	O
E	O
o	O
Dante	B-ORGANIZACAO
Alighieri	I-ORGANIZACAO
naquele	O
ano	O
estava	O
inaugurando...	O
o	O
primeiro	O
curso	O
de	O
contabilidade.	O
E	O
eu	O
fiz,	O
mas	O
eu	O
estava	O
na	O
minha	O
fase	O
de	O
16	B-VALOR
/	O
17	B-VALOR
anos	I-VALOR
,	O
é	O
uma	O
fase	O
meio	O
impulsiva,	O
eu	O
acabei	O
repetindo	O
de	O
ano.	O

No	O
ano	O
seguinte	O
eu	O
quis	O
me	O
manter	O
na	O
contabilidade,	O
mas	O
não	O
tinha	O
número	O
de	O
alunos	O
suficiente	O
para	O
manter	O
a	O
classe	O
de	O
contabilidade.	O
Então	O
eles	O
fundiram	O
contabilidade	O
com	O
secretariado.	O
E	O
eu	O
acabei	O
estudando	O
numa	O
classe	O
onde	O
só	O
tinha	O
eu	O
de	O
homem	O
e	O
45	B-VALOR
mulheres.	O
(risos)	O
E,	O
coincidentemente,	O
nesse	O
ano	O
meu	O
pai	O
me	O
deu	O
um	O
carro,	O
na	O
época,	O
um	O
Fissori	B-COISA
.	O
E...	O
eu	O
estudando	O
secretariado,	O
com	O
45	B-VALOR
mulheres	O
na	O
classe,	O
não	O
precisa	O
dizer	O
o	O
que	O
aconteceu,	O
não?	O
(riso)	O
Eu	O
acabei	O
sendo	O
expulso	O
o	O
Dante	B-ORGANIZACAO
,	O
e	O
fui	O
terminar	O
no	O
São	B-ORGANIZACAO
Luís	I-ORGANIZACAO
,	O
e	O
aí	O
comecei	O
a	O
estudar	O
à	O
noite,	O
e	O
aí	O
acabou	O
um	O
pouco	O
da	O
moleza.	O
Depois	O
do	O
São	B-ORGANIZACAO
Luís	I-ORGANIZACAO
eu	O
fui	O
para	O
o	O
Mackenzie	B-ORGANIZACAO
e	O
acabei	O
me	O
formando	O
lá.	O
P	O
-	O
O	O
senhor	O
começou	O
a	O
trabalhar	O
com	O
que	O
idade?	O
R	O
-	O
Com	O
16	B-VALOR
anos	I-VALOR
,	O
1964	B-TEMPO
.	O
P	O
-	O
E	O
onde	O
o	O
senhor	O
começou	O
a	O
trabalhar?	O
R	O
-	O
Na	O
própria	O
loja,	O
onde	O
eu	O
estou,	O
no	O
Rei	B-ORGANIZACAO
do	I-ORGANIZACAO
Armarinho	I-ORGANIZACAO
.	O

P	O
-	O
E	O
o	O
Rei	B-ORGANIZACAO
...	O
eu	O
queria	O
que	O
o	O
senhor	O
falasse	O
um	O
pouco	O
da	O
loja.	O
A	O
Ao	B-ORGANIZACAO
Rei	I-ORGANIZACAO
do	I-ORGANIZACAO
Armarinho	I-ORGANIZACAO
foi	O
fundada	O
quando...	O
R	O
-	O
É,	O
o	O
Rei	B-ORGANIZACAO
do	I-ORGANIZACAO
Armarinho	I-ORGANIZACAO
é	O
uma	O
loja	O
bem	O
antiga,	O
foi	O
fundada	O
em	O
1926	B-TEMPO
,	O
e...	O
era	O
uma	O
loja	O
pequena,	O
quer	O
dizer,	O
com	O
todas	O
as	O
dificuldades	O
da	O
época,	O
não	O
existiam	O
uma	O
grande	O
variedade	O
no	O
ramo	O
e	O
existia	O
muita	O
concorrência.	O
Então,	O
o	O
cliente	O
era	O
praticamente	O
pego	O
na	O
raça,	O
na	O
unha,	O
na	O
amizade,	O
na	O
conquista:	O
era	O
uma	O
cantada	O
em	O
cima	O
do	O
cliente!	O
E	O
assim	O
o	O
Rei	B-ORGANIZACAO
do	I-ORGANIZACAO
Armarinho	I-ORGANIZACAO
foi	O
crescendo,	O
com	O
muita	O
luta,	O
com	O
muita	O
garra,	O
com	O
muita	O
honestidade,	O
com	O
muita	O
disposição	O
de	O
vencer.	O
E...	O
com	O
o	O
decorrer	O
dos	O
anos,	O
vamos	O
dizer,	O
a	O
loja	O
mudou	O
para	O
um	O
endereço	O
maior	O
e...	O
já	O
com	O
mais	O
opções	O
de	O
produtos,	O
com	O
um	O
pouco	O
mais	O
de	O
funcionários,	O
...	O
e	O
ela	O
veio	O
tomando	O
o	O
seu	O
rumo	O
de	O
desenvolvimento.	O
Há	O
mais	O
ou	O
menos	O
35	B-VALOR
anos	I-VALOR
,	O
talvez	O
até	O
um	O
pouquinho	O
mais,	O
meu	O
pai	O
comprou	O
um	O
terreno,	O
na	O
Cavalheiro	B-LOCAL
Basílio	I-LOCAL
Jafet	I-LOCAL
,	O
junto	O
com	O
o	O
meu	O
tio	O
que	O
é	O
sócio,	O
e	O
resolveu	O
construir	O
um	O
prédio	O
para	O
que	O
fosse	O
a	O
futura	O
sede	O
da	O
empresa	O
e	O
que	O
fosse	O
um	O
prédio	O
próprio.	O

E	O
com	O
muita	O
luta,	O
com	O
muita	O
dedicação,	O
acompanhando	O
a	O
obra	O
no	O
dia-a-dia,	O
se	O
construiu,	O
se	O
conseguiu	O
construir	O
esse	O
prédio,	O
onde	O
atualmente	O
a	O
empresa	O
se	O
encontra,	O
e	O
aí	O
se	O
mudou	O
para	O
lá	O
usando	O
metade	O
do	O
prédio	O
e	O
alugando	O
a	O
outra	O
metade	O
para	O
um	O
banco,	O
para	O
que	O
ajudasse	O
a	O
custear	O
as	O
despesas	O
da	O
construção,	O
a	O
dívida	O
da	O
construção.	O
Aí,	O
com	O
o	O
decorrer	O
dos	O
anos,	O
aí	O
já	O
eu	O
trabalhando	O
lá,	O
vamos	O
dizer,	O
o	O
banco	O
resolveu	O
mudar	O
de	O
lá,	O
e	O
nós	O
resolvemos	O
usar	O
o	O
espaço	O
do	O
banco	O
expandindo	O
a	O
loja.	O
E	O
hoje	O
a	O
loja	O
usa,	O
além	O
do	O
prédio,	O
nós	O
adquirimos	O
mais	O
um	O
vizinho	O
e	O
alugamos	O
uma	O
boa	O
parte	O
no	O
fundo,	O
mais	O
um	O
primeiro	O
andar	O
enorme	O
para	O
depósito:	O
a	O
gente	O
ocupa	O
aproximadamente	O
5.000	B-VALOR
m2	I-VALOR
.	O
É	O
uma	O
das	O
lojas	O
mais	O
antigas	O
do	O
ramo	O
e	O
ao	O
mesmo	O
tempo	O
é	O
uma	O
das	O
lojas	O
mais	O
modernas	O
do	O
ramo,	O
em	O
termos	O
de	O
linha	O
de	O
produto,	O
forma	O
de	O
atendimento,	O
a	O
gente	O
se	O
dedica	O
demais	O
sobre	O
esse	O
aspecto.	O

Nós	O
fomos	O
a	O
primeira	O
loja	O
de	O
toda	O
a	O
região	O
central	O
-	O
caracterizando	O
como	O
empresa	O
familiar	O
-,	O
a	O
primeira	O
loja	O
a	O
ter	O
computador	O
na	O
região	O
central.	O
Nós	O
pusemos	O
o	O
primeiro	O
computador	O
funcionando	O
em	O
1976	B-TEMPO
.	O
E	O
desenvolvemos	O
bastante	O
sistemas,	O
partimos	O
de	O
uma	O
forma	O
muito	O
séria	O
para	O
organização	O
e...	O
é	O
uma	O
loja	O
que	O
é	O
absolutamente	O
controlada	O
por	O
sistemas,	O
com	O
18	B-VALOR
para	O
19	B-VALOR
anos	I-VALOR
de	O
experiência	O
nisso.	O
Hoje	O
a	O
gente	O
tem	O
tudo	O
por	O
scanner,	O
por	O
código	O
de	O
barras,	O
enfim,	O
os	O
processos	O
mais	O
modernos.	O
A	O
gente	O
procura	O
estar	O
sempre...	O
e...	O
estar	O
sempre,	O
vamos	O
dizer,	O
naquilo	O
que	O
tem	O
de	O
mais	O
moderno,	O
que	O
está	O
ao	O
alcance	O
da	O
gente.	O
P	O
-	O
Eu	O
queria	O
que	O
o	O
senhor	O
falasse	O
um	O
pouquinho	O
antes,	O
de	O
quando	O
o	O
senhor	O
começou,	O
em	O
64	B-TEMPO
.	O
Como	O
é	O
que	O
era	O
o	O
Rei	B-ORGANIZACAO
do	I-ORGANIZACAO
Armarinho	I-ORGANIZACAO
nessa	O
época?	O
Como	O
era	O
a	O
loja,	O
as	O
mercadorias	O
que	O
eram	O
vendidas,	O
o	O
que	O
é	O
que	O
o	O
senhor	O
fazia?	O
R	O
-	O
Bom,	O
eu	O
comecei	O
em	O
64	B-TEMPO
,	O
como	O
um	O
garoto	O
rebelde!	O
A	O
loja	O
era	O
bem	O
menor,	O
tinha	O
aproximadamente	O
17	B-VALOR
funcionários	O
é...e	O
a	O
gente,	O
eu	O
tentei	O
aprender	O
um	O
pouco	O
com	O
cada	O
funcionário,	O
aprender	O
o	O
meu	O
lugar	O
é...	O

porque	O
a	O
gente	O
no	O
começo	O
se	O
achava	O
filho	O
do	O
dono,	O
e	O
achava	O
que	O
mandava,	O
e	O
não	O
era	O
bem	O
assim.	O
E	O
eu	O
fui	O
tendo	O
que	O
conquistar	O
o	O
meu	O
espaço	O
lá	O
dentro,	O
tendo	O
que	O
ser,	O
deixar	O
de	O
ser	O
o	O
filho	O
do	O
dono	O
e	O
tentar	O
ser	O
o	O
Gilberto	B-PESSOA
.	O
Isso	O
foi	O
uma	O
batalha	O
difícil,	O
ao	O
longo	O
dos	O
anos,	O
porque	O
você,	O
se	O
impor	O
como	O
sendo	O
a	O
pessoa,	O
requer	O
muito	O
mais	O
de	O
você.	O
Você	O
tem	O
que	O
adquirir	O
esse	O
respeito,	O
essa	O
confiança	O
perante	O
as	O
pessoas,	O
pessoas	O
que	O
estavam	O
na	O
empresa	O
muito	O
antes	O
de	O
eu	O
nascer,	O
então	O
realmente	O
era	O
difícil	O
você	O
conseguir	O
atingir	O
uma	O
linha	O
que	O
você	O
pudesse	O
comandá-los	O
no	O
futuro.	O
P	O
-	O
E	O
qual	O
que	O
era	O
a	O
clientela	O
nessa	O
época?	O
R	O
-	O
Bom,	O
eram	O
clientes	O
do	O
Brasil	B-LOCAL
inteiro...	O
O	O
Brasil	B-LOCAL
de	O
64	B-TEMPO
era	O
um	O
país	O
extremamente	O
mais	O
pobre	O
de	O
rodovias,	O
de,	O
de	O
meios	O
de	O
comunicação,	O
então	O
as	O
pessoas	O
vinham,	O
vamos	O
dizer,	O
de	O
uma	O
forma	O
até	O
sacrificante,	O
até	O
São	B-LOCAL
Paulo	I-LOCAL
,	O
para	O
fazer	O
as	O
compras	O
para	O
distribuir	O
no	O
seu	O
estado.	O

Então,	O
nós	O
tínhamos	O
clientes	O
do	O
Brasil	B-LOCAL
inteiro	O
onde	O
a	O
gente	O
vendia	O
muito	O
para	O
regiões	O
atacadistas,	O
como	O
Recife	B-LOCAL
,	O
Fortaleza	B-LOCAL
,	O
Belém	B-LOCAL
do	I-LOCAL
Pará	I-LOCAL
,	O
que	O
sempre	O
foram	O
regiões	O
fortes	O
de	O
distribuição,	O
mas...	O
as	O
pessoas	O
faziam	O
verdadeiras	O
maratonas	O
para	O
poder	O
vir	O
à	O
São	B-LOCAL
Paulo	I-LOCAL
comprar,	O
e	O
conseguir	O
distribuir	O
essa	O
mercadoria	O
lá.	O
Então,	O
o	O
cliente	O
naquela	O
época	O
era	O
extremamente	O
exigente	O
com	O
relação	O
a	O
preço,	O
porque	O
uma	O
vez	O
que	O
ele	O
se	O
sacrificava	O
para	O
vir	O
até	O
São	B-LOCAL
Paulo	I-LOCAL
,	O
ele	O
brigava	O
por	O
qualquer	O
centavo	O
para	O
poder	O
tentar	O
tirar	O
o	O
custo	O
da	O
viagem	O
e	O
o	O
sacrifício	O
dele,	O
para	O
poder	O
levar	O
o	O
máximo	O
possível	O
de	O
mercadorias.	O
E	O
era	O
um,	O
um	O
período	O
difícil,	O
era	O
outro...	O
um	O
perfil	O
completamente	O
diferente	O
do	O
de	O
hoje,	O
né.	O
As	O
mercadorias	O
ficavam	O
dentro	O
de	O
balcões,	O
eram	O
solicitadas,	O
vamos	O
dizer,	O
eram	O
muito	O
menos	O
produtos	O
e	O
esses	O
produtos	O
eram	O
conhecidos	O
nominativamente,	O
ou	O
até	O
pela	O
referência,	O
e	O
isso	O
facilitava	O
muito	O
fazer	O
uma	O
concorrência	O
de	O
preços.	O
Vamos	O
dizer,	O
eram	O
poucas	O
indústrias	O
em	O
cada	O
ramo,	O
então,	O
isso	O
permitia	O
com	O
que	O
o	O
cliente	O
em	O
2horas	B-VALOR
ou	O
3	B-VALOR
horas	I-VALOR
ele	O
fizesse	O
um	O
pesquisa	O
na	O
região	O
inteira.	O

Hoje,	O
esse	O
perfil	O
é	O
bem	O
diferente,	O
a	O
gama	O
de	O
produtos	O
é	O
extremamente	O
maior,	O
...	O
nós	O
passamos	O
por	O
um	O
período	O
de	O
inflação	O
que	O
o	O
preço	O
muda	O
todo	O
o	O
dia,	O
então	O
a	O
memória,	O
hoje,	O
das	O
